numéro,pays,ligue,année,clubs,liens
1823693,Allemagne,Oberliga,2024-2025,Sv Schalding Heining Tsv Rain Lech,/matches/1823693/live/allemagne-oberliga-2024-2025-sv-schalding-heining-tsv-rain-lech
1823694,Allemagne,Oberliga,2024-2025,Fc Sonthofen Tsv Gruenwald,/matches/1823694/live/allemagne-oberliga-2024-2025-fc-sonthofen-tsv-gruenwald
1823695,Allemagne,Oberliga,2024-2025,Fc Sonthofen Sv Kirchanschoering,/matches/1823695/live/allemagne-oberliga-2024-2025-fc-sonthofen-sv-kirchanschoering
1823696,Allemagne,Oberliga,2024-2025,Unterhaching Ii Tsv Rain Lech,/matches/1823696/live/allemagne-oberliga-2024-2025-unterhaching-ii-tsv-rain-lech
1823697,Allemagne,Oberliga,2024-2025,Unterhaching Ii Fc Pipinsried,/matches/1823697/live/allemagne-oberliga-2024-2025-unterhaching-ii-fc-pipinsried
1823698,Allemagne,Oberliga,2024-2025,Fc Memmingen Tsv Kottern,/matches/1823698/live/allemagne-oberliga-2024-2025-fc-memmingen-tsv-kottern
1823699,Allemagne,Oberliga,2024-2025,Tsv Kottern Sv Erlbach,/matches/1823699/live/allemagne-oberliga-2024-2025-tsv-kottern-sv-erlbach
1823700,Allemagne,Oberliga,2024-2025,Fc Deisenhofen 1860 Muenchen Ii,/matches/1823700/live/allemagne-oberliga-2024-2025-fc-deisenhofen-1860-muenchen-ii
1823701,Allemagne,Oberliga,2024-2025,Tsv Landsberg 1860 Muenchen Ii,/matches/1823701/live/allemagne-oberliga-2024-2025-tsv-landsberg-1860-muenchen-ii
1823702,Allemagne,Oberliga,2024-2025,Sv Schalding Heining Sv Heimstetten,/matches/1823702/live/allemagne-oberliga-2024-2025-sv-schalding-heining-sv-heimstetten
1823703,Allemagne,Oberliga,2024-2025,Unterhaching Ii Fc Sonthofen,/matches/1823703/live/allemagne-oberliga-2024-2025-unterhaching-ii-fc-sonthofen
1823704,Allemagne,Oberliga,2024-2025,Tsv 1861 Noerdlingen Fc Ismaning,/matches/1823704/live/allemagne-oberliga-2024-2025-tsv-1861-noerdlingen-fc-ismaning
1823705,Allemagne,Oberliga,2024-2025,Tsv Gruenwald Fc Memmingen,/matches/1823705/live/allemagne-oberliga-2024-2025-tsv-gruenwald-fc-memmingen
1823706,Allemagne,Oberliga,2024-2025,Tuerkspor Augsburg Sv Kirchanschoering,/matches/1823706/live/allemagne-oberliga-2024-2025-tuerkspor-augsburg-sv-kirchanschoering
1823707,Allemagne,Oberliga,2024-2025,Tuerkspor Augsburg Sv Schalding Heining,/matches/1823707/live/allemagne-oberliga-2024-2025-tuerkspor-augsburg-sv-schalding-heining
