league,journey,season,date,hours,referee,stadium,team1,team2,action_minute,action_score,action_description,action_type,action_team,link
Ligue 1,Journée 24,2024/2025,02/03/2025,20:45,Stéphanie Frappart,Orange Vélodrome,Marseille,Nantes,70,0:0,Mostafa Mohamed pour Matthis Abline,Substitute,Nantes,
Ligue 1,Journée 24,2024/2025,02/03/2025,20:45,Stéphanie Frappart,Orange Vélodrome,Marseille,Nantes,70,0:0,Meschak Elia pour Moses Simon,Substitute,Nantes,
Ligue 1,Journée 24,2024/2025,02/03/2025,20:45,Stéphanie Frappart,Orange Vélodrome,Marseille,Nantes,73,1:0,Amine Gouiri - Passe décisive : Valentin Rongier,Goal,Marseille,
Ligue 1,Journée 24,2024/2025,02/03/2025,20:45,Stéphanie Frappart,Orange Vélodrome,Marseille,Nantes,75,1:0,Louis Leroux,Yellow Card,Nantes,
Ligue 1,Journée 24,2024/2025,02/03/2025,20:45,Stéphanie Frappart,Orange Vélodrome,Marseille,Nantes,77,2:0,Mason Greenwood,Goal,Marseille,
Ligue 1,Journée 24,2024/2025,02/03/2025,20:45,Stéphanie Frappart,Orange Vélodrome,Marseille,Nantes,78,2:0,Luiz Felipe pour Pol Lirola,Substitute,Marseille,
Ligue 1,Journée 24,2024/2025,02/03/2025,20:45,Stéphanie Frappart,Orange Vélodrome,Marseille,Nantes,79,2:0,Bilal Nadir pour Mason Greenwood,Substitute,Marseille,
Ligue 1,Journée 24,2024/2025,02/03/2025,20:45,Stéphanie Frappart,Orange Vélodrome,Marseille,Nantes,79,2:0,Sorba Thomas pour Marcus Coco,Substitute,Nantes,
Ligue 1,Journée 24,2024/2025,02/03/2025,20:45,Stéphanie Frappart,Orange Vélodrome,Marseille,Nantes,79,2:0,Bahereba Guirassy pour Pedro Chirivella,Substitute,Nantes,
Ligue 1,Journée 25,2024/2025,07/03/2025,20:45,Marc Bollengier,Stadium de Toulouse,Toulouse,Monaco,1,0:0,Christian Mawissa,Yellow Card,Monaco,
Ligue 1,Journée 25,2024/2025,07/03/2025,20:45,Marc Bollengier,Stadium de Toulouse,Toulouse,Monaco,17,0:1,Takumi Minamino - Passe décisive : Mika Biereth,Goal,Monaco,
